sheet_num,dice_agreement_with_classic,iou_agreement_with_classic,classic_area_pixels,rf_area_pixels,area_diff_percent,toppers_detected_classic,toppers_detected_rf,processing_time_seconds
13,0.4458430987090874,0.2868713566427955,1791912,6227066,247.50958752438737,8,1,7.868322134017944
15,0.4450590473141382,0.2862224745868222,1789281,6206849,246.89067843452202,8,1,6.3362932205200195
17,0.4470187493832891,0.28784555461038025,1794319,6221998,246.76097171127319,8,1,6.2145116329193115
20,0.445371457764843,0.286480947483772,1790454,6223095,247.57078372301103,8,1,6.060704469680786
22,0.44583253694643005,0.28686261136266167,1792508,6228091,247.4512247644083,8,1,6.342778444290161
24,0.4469983752073407,0.28782865907627064,1795499,6220293,246.43812110171044,8,1,6.321426630020142
26,0.4463611992933891,0.2873004968016886,1795223,6224466,246.7238331950961,8,1,6.103272914886475
28,0.44694469825729205,0.28778414893260296,1795371,6231103,247.06492418558616,8,1,6.20366358757019
30,0.4470987531497891,0.2879119029987585,1795965,6225207,246.62184396689244,8,1,6.4272074699401855
32,0.4456905266777752,0.28674503651138644,1792568,6221706,247.08340213593013,8,1,6.20448112487793
34,0.4476473789866634,0.288367071325876,1799266,6235241,246.54359055303664,8,1,6.2704737186431885
36,0.45163187480341216,0.29168249297696625,1819218,6236976,242.8382964548504,8,1,6.149680852890015
38,0.4655783819982114,0.3034227206760252,1825314,6005419,229.00744748574766,8,23,12.983832359313965
