model,synth_iou,synth_dice,real_dice_agreement,real_iou_agreement,real_toppers_detected
RF_v1,0.99106,0.9955,0.44824,0.28887,2.7
RF_v2,0.7798314032339712,0.825212030331278,0.6300173404387832,0.47292627148697886,37.07692307692308
