strategy,mean_iou,mean_dice,mean_precision,mean_recall,mean_time_per_topper
S1_box_only,0.9172493777518617,0.9565541611436231,0.930602429076135,0.9845729599209552,0.05917868328591188
S2_box_padded_5,0.9173940960951675,0.9566026301540829,0.9271091167920158,0.9887038158972086,0.0587471021960179
S3_box_padded_10,0.9166549738987119,0.9561588633415368,0.9235232805634291,0.9919817778696487,0.05746761771539847
S4_box_plus_center_point,0.9085742141047021,0.9517269157023311,0.9277480571098881,0.9777619019714606,0.059420508022109665
S5_box_plus_center_and_negative_points,0.9144082154640124,0.9549617042700257,0.9307149993542634,0.9811288850609706,0.05985375555853049
