sheet_num,dice_agreement,iou_agreement,sam_area,toppers_classic,toppers_sam,inference_time_seconds
13,0.9794906133253444,0.959805589360651,1786352,8,8,0.8588957786560059
15,0.9808818645337308,0.9624810219719578,1784760,8,8,0.5089948177337646
17,0.979499370732988,0.9598224073967757,1790010,8,8,0.5296618938446045
20,0.9801154693865227,0.961006309995669,1786598,8,8,0.6021103858947754
22,0.9794490479371413,0.9597257696515422,1788348,8,8,0.48345184326171875
24,0.9789026801774123,0.9586771614947471,1784861,8,8,0.5162007808685303
26,0.9790541171392838,0.9589676921914309,1782091,8,9,0.5787539482116699
28,0.9807621545474646,0.96225052761067,1800094,8,8,0.6178665161132812
30,0.9764804228193344,0.9540417639192571,1779652,8,9,0.5059785842895508
32,0.9792447736014538,0.9593335877950382,1785326,8,8,0.591921329498291
34,0.9779313238066265,0.9568156686386929,1800089,8,8,0.6503186225891113
36,0.9804818564960723,0.96171104236194,1804641,8,10,0.5818159580230713
38,0.9774661981945721,0.9559255610608838,1802081,8,8,0.5177161693572998
