split,prompt_scenario,n_images,mean_iou,std_iou,iou_bootstrap_95_ci_low,iou_bootstrap_95_ci_high,mean_dice,mean_boundary_f1,mean_component_error,mean_prompt_count
real,ideal,13,0.9537198681863852,0.008230076700941277,0.9492658037769776,0.9576829096066962,0.9762949564415787,0.720567773576267,0.0,8.0
real,operational,13,0.9536402066630841,0.00825933167952818,0.9491519155601739,0.9576801490043063,0.9762530932052796,0.7200017398041768,0.0,8.0
test,ideal,12,0.9231758654782308,0.0070485635938889605,0.9193809943806339,0.9269367928885373,0.9600406958009103,0.737646409678319,0.0,8.0
test,operational,12,0.9230782853903857,0.007181907871669617,0.919241379025382,0.9268922766005075,0.9599874361780757,0.7375948627836054,0.0,8.0
