sample_id,method,repetition,total_seconds,prompt_localization_seconds,encoder_seconds,decoder_seconds,postprocess_seconds,sam_total_seconds,input_width_px,input_height_px,device
real_13,vision_clasica,1,0.1400705999985803,,,,,,2100,2970,cpu
real_13,vision_clasica,2,0.12900109999463893,,,,,,2100,2970,cpu
real_13,vision_clasica,3,0.1260679999977583,,,,,,2100,2970,cpu
real_13,vision_clasica,4,0.1324633000040194,,,,,,2100,2970,cpu
real_13,vision_clasica,5,0.13757500000065193,,,,,,2100,2970,cpu
real_13,random_forest_identity_v2,1,10.866982500010636,,,,,,2100,2970,cpu
real_13,random_forest_identity_v2,2,10.819857000009506,,,,,,2100,2970,cpu
real_13,random_forest_identity_v2,3,12.625794499996118,,,,,,2100,2970,cpu
real_13,random_forest_identity_v2,4,13.902912600009586,,,,,,2100,2970,cpu
real_13,random_forest_identity_v2,5,13.644127199993818,,,,,,2100,2970,cpu
real_13,sam2_operativo_hibrido,1,2.6531486000021687,0.19155350000073668,1.2867223999928683,1.0554855999944266,0.119324700004654,2.461595100001432,2100,2970,cpu
real_13,sam2_operativo_hibrido,2,2.4421742999984417,0.24064289999660105,1.1999291000101948,0.8547161000024062,0.14682569999422412,2.2015314000018407,2100,2970,cpu
real_13,sam2_operativo_hibrido,3,2.3383967999980086,0.24103560000366997,1.1675672999990638,0.795235000012326,0.13449570001102984,2.0973611999943387,2100,2970,cpu
real_13,sam2_operativo_hibrido,4,2.2831139999907464,0.21589409999432974,1.1583675000001676,0.7872218000120483,0.12157920000026934,2.0672198999964166,2100,2970,cpu
real_13,sam2_operativo_hibrido,5,2.51590360001137,0.2197304000001168,1.2224548000085633,0.9311215000052471,0.14253280000411905,2.2961732000112534,2100,2970,cpu
real_20,vision_clasica,1,0.1636521000036737,,,,,,2100,2970,cpu
real_20,vision_clasica,2,0.1660243999940576,,,,,,2100,2970,cpu
real_20,vision_clasica,3,0.17947830000775866,,,,,,2100,2970,cpu
real_20,vision_clasica,4,0.15101980000326876,,,,,,2100,2970,cpu
real_20,vision_clasica,5,0.1665089000016451,,,,,,2100,2970,cpu
real_20,random_forest_identity_v2,1,11.845712400012417,,,,,,2100,2970,cpu
real_20,random_forest_identity_v2,2,12.034077299991623,,,,,,2100,2970,cpu
real_20,random_forest_identity_v2,3,12.228327400007402,,,,,,2100,2970,cpu
real_20,random_forest_identity_v2,4,12.224809300008928,,,,,,2100,2970,cpu
real_20,random_forest_identity_v2,5,11.769597199992859,,,,,,2100,2970,cpu
real_20,sam2_operativo_hibrido,1,2.089474699998391,0.17763510000077076,1.069811999986996,0.715597100002924,0.12637069998891093,1.91183959999762,2100,2970,cpu
real_20,sam2_operativo_hibrido,2,2.1935289000102784,0.2205244000069797,1.0841565000009723,0.763186099997256,0.12560679999296553,1.9730045000032987,2100,2970,cpu
real_20,sam2_operativo_hibrido,3,2.2898580000037327,0.24611419999564532,1.139515400005621,0.7827904000005219,0.12138280000363011,2.0437438000080874,2100,2970,cpu
real_20,sam2_operativo_hibrido,4,2.3157898999925237,0.23678479999944102,1.198742399996263,0.7512130999966757,0.1289896999951452,2.0790050999930827,2100,2970,cpu
real_20,sam2_operativo_hibrido,5,2.216356899996754,0.23903369999607094,1.1281237000075635,0.7254529000056209,0.12367870000889525,1.9773232000006828,2100,2970,cpu
real_28,vision_clasica,1,0.1394746000005398,,,,,,2100,2970,cpu
real_28,vision_clasica,2,0.13230470000416972,,,,,,2100,2970,cpu
real_28,vision_clasica,3,0.13607600000977982,,,,,,2100,2970,cpu
real_28,vision_clasica,4,0.13356810000550468,,,,,,2100,2970,cpu
real_28,vision_clasica,5,0.13104589999420568,,,,,,2100,2970,cpu
real_28,random_forest_identity_v2,1,11.763579499995103,,,,,,2100,2970,cpu
real_28,random_forest_identity_v2,2,12.037753900003736,,,,,,2100,2970,cpu
real_28,random_forest_identity_v2,3,11.922790200012969,,,,,,2100,2970,cpu
real_28,random_forest_identity_v2,4,11.298624000002746,,,,,,2100,2970,cpu
real_28,random_forest_identity_v2,5,10.833929000000353,,,,,,2100,2970,cpu
real_28,sam2_operativo_hibrido,1,1.9784900000086054,0.18193020000762772,1.0376522000005934,0.6505323000019416,0.10830789999454282,1.7965598000009777,2100,2970,cpu
