sample_id,expected_wcs,markers_detected,markers_ok,wcs_status,wcs_classification_correct,segmentation_method,prompt_count,topper_count,outer_contour_count,cut_path_count,hole_path_count,eight_toppers,external_silhouette_policy_ok,dxf_created,dxf_policy_correct,dxf_structurally_valid,dxf_structurally_valid_or_not_applicable,iou_vs_assisted_reference,dice_vs_assisted_reference,boundary_f1_vs_assisted_reference,load_seconds,marker_seconds,rectification_seconds,wcs_seconds,segmentation_and_contours_seconds,dxf_seconds,total_seconds,error
real_13,False,4,True,WCS_NOT_FOUND,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,False,True,False,True,0.9593798866970223,0.9792688933989967,0.8126353733080591,0.9890302999992855,0.054358699999284,0.04254920000676066,0.005362500000046566,5.477008800007752,9.999930625781417e-07,7.044470900000306,
real_15,False,4,True,WCS_NOT_FOUND,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,False,True,False,True,0.960652973854097,0.9799316724220922,0.7791543713632023,1.1104407999955583,0.05377790000056848,0.044511900006909855,0.12358769999991637,2.230856900001527,1.7999991541728377e-06,4.05864930000098,
real_17,False,4,True,WCS_NOT_FOUND,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,False,True,False,True,0.9538059991486936,0.9763569152354769,0.6955168079147337,1.1142961000005016,0.13461280000046827,0.041930300008971244,0.004754900000989437,2.2311480999924242,4.00003045797348e-07,3.9522083000047132,
real_20,True,4,True,SUCCESS,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,True,True,True,True,0.9579174104031074,0.9785064531459331,0.7754928168137497,1.002523300005123,0.043590100001893006,0.041276700008893386,0.13105320000613574,2.3757062000076985,0.07328280000365339,4.167838199995458,
real_22,True,4,True,SUCCESS,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,True,True,True,True,0.9592980019466529,0.979226234083377,0.8132368334949953,1.099456399999326,0.05609549999644514,0.041834000003291294,0.10994759999448434,2.2990646999969613,0.07025520000024699,4.1504936999990605,
real_24,True,4,True,SUCCESS,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,True,True,True,True,0.9580154300021987,0.9785575898154417,0.7909209289721288,1.2927208000037353,0.16278070000407752,0.04636989999562502,0.13220039999578148,2.643134900004952,0.06976840000425,4.857342099989182,
real_26,True,4,True,SUCCESS,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,True,True,True,True,0.957090160615763,0.9780746742036983,0.755612430566183,1.3017003999993904,0.07403619999240618,0.050096100007067434,0.15644729998894036,2.5696017000009306,0.07611189999443013,4.711951100005535,
real_28,True,4,True,SUCCESS,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,True,True,True,True,0.9632192758977551,0.9812650962865952,0.8482548259884349,1.0876352999912342,0.1803185000026133,0.044057599996449426,0.17068909999215975,2.244978499991703,0.062465199996950105,4.171086500005913,
real_30,True,4,True,SUCCESS,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,True,True,True,True,0.9502816505678021,0.9745070926459658,0.7233114860807973,1.1438462999940384,0.09627770000952296,0.042230599996401,0.11450510000577196,2.3116808000049787,0.09338879999995697,4.343613899996853,
real_32,True,4,True,SUCCESS,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,True,True,True,True,0.9565363995562429,0.9777854373403864,0.7406526750610222,1.2879321000073105,0.05092559999320656,0.03780429999460466,0.14080480000120588,2.1898742000048514,0.068551699994714,4.25936160000856,
real_34,True,4,True,SUCCESS,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,True,True,True,True,0.9431286691159421,0.9707320818286663,0.5912174781519678,1.089252799996757,0.05122610001126304,0.04703709999739658,0.17248429999744985,2.160727099995711,0.06499639998946805,4.053346500004409,
real_36,True,4,True,SUCCESS,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,True,True,True,True,0.94048427050791,0.969329445027394,0.517983858585975,1.1140993000008166,0.04489179998927284,0.04005309999047313,0.18951610001386143,2.2080699000071036,0.062363899996853434,4.120110499992734,
real_38,True,4,True,SUCCESS,True,sam2_hiera_tiny_prompted,8,8,8,8,0,True,True,True,True,True,True,0.9375125583069059,0.9677486262346094,0.5160327311530495,1.02142879999883,0.040870600001653656,0.0394761999923503,0.0736756999976933,2.076287500007311,0.05772070000239182,3.7081487999967067,
