model,origin,threshold,validation_iou,validation_component_error,selection_score,test_iou,test_dice,test_boundary_f1,test_component_error
RF_v1_control_no_augmentation,control previo sin aumento,0.7,0.9902611784655871,0.0,0.9902611784655871,0.9901978344737659,0.9950528218559342,0.9424873070910661,0.0
RF_v2_control,control previo con aumento,0.65,0.9127242524574347,0.16666666666666666,0.9118909191241014,0.8186288391698627,0.8838704060189212,0.6722488948314912,0.16666666666666666
RF_busqueda_agrupada,busqueda aleatoria con GroupKFold,0.6,0.5952520692643731,2.3333333333333335,0.5835854025977064,0.4956706943501418,0.5522793520200825,0.42375086402342516,3.5
