dataset_version,split,sample_id,method,repetition,rotating_order_position,segmentation_seconds,input_width_px,input_height_px,device
asset_identity_v2,test,idv2_test_L1_C6,vision_clasica_fija,2,1,0.13197610000497662,2100,2970,cpu
asset_identity_v2,test,idv2_test_L1_C6,random_forest_seleccionado,2,2,13.415757200011285,2100,2970,cpu
asset_identity_v2,test,idv2_test_L1_C6,sam2_operativo_hibrido,2,3,2.2194925999938278,2100,2970,cpu
asset_identity_v2,test,idv2_test_L1_C6,random_forest_seleccionado,3,1,13.17854379999335,2100,2970,cpu
asset_identity_v2,test,idv2_test_L1_C6,sam2_operativo_hibrido,3,2,2.229385699989507,2100,2970,cpu
asset_identity_v2,test,idv2_test_L1_C6,vision_clasica_fija,3,3,0.1617961000010837,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C1,vision_clasica_fija,1,1,0.17959759999939706,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C1,random_forest_seleccionado,1,2,14.325016499991762,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C1,sam2_operativo_hibrido,1,3,2.3527180000091903,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C1,random_forest_seleccionado,2,1,15.323557700001402,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C1,sam2_operativo_hibrido,2,2,2.270828699998674,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C1,vision_clasica_fija,2,3,0.16239839998888783,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C1,sam2_operativo_hibrido,3,1,2.386515399994096,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C1,vision_clasica_fija,3,2,0.1552183000021614,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C1,random_forest_seleccionado,3,3,14.02936870000849,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C2,random_forest_seleccionado,1,1,14.58150569999998,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C2,sam2_operativo_hibrido,1,2,2.2892345000000205,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C2,vision_clasica_fija,1,3,0.1396474999928614,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C2,sam2_operativo_hibrido,2,1,2.136688500002492,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C2,vision_clasica_fija,2,2,0.14631969999754801,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C2,random_forest_seleccionado,2,3,13.753484200002276,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C2,vision_clasica_fija,3,1,0.12441220000619069,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C2,random_forest_seleccionado,3,2,13.112360800005263,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C2,sam2_operativo_hibrido,3,3,2.1614966000051936,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C3,sam2_operativo_hibrido,1,1,2.447813099992345,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C3,vision_clasica_fija,1,2,0.15184919998864643,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C3,random_forest_seleccionado,1,3,13.876015900008497,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C3,vision_clasica_fija,2,1,0.1509875999909127,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C3,random_forest_seleccionado,2,2,14.168651599989971,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C3,sam2_operativo_hibrido,2,3,2.2001063999923645,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C3,random_forest_seleccionado,3,1,14.879847700009122,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C3,sam2_operativo_hibrido,3,2,2.1324694999930216,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C3,vision_clasica_fija,3,3,0.14191160000336822,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C4,vision_clasica_fija,1,1,0.1573398000036832,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C4,random_forest_seleccionado,1,2,14.384647400001995,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C4,sam2_operativo_hibrido,1,3,2.140417600006913,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C4,random_forest_seleccionado,2,1,12.782670399989001,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C4,sam2_operativo_hibrido,2,2,2.341287800009013,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C4,vision_clasica_fija,2,3,0.18600180000066757,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C4,sam2_operativo_hibrido,3,1,2.2697768999933032,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C4,vision_clasica_fija,3,2,0.146803199997521,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C4,random_forest_seleccionado,3,3,13.428715200003353,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C5,random_forest_seleccionado,1,1,25.057170900006895,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C5,sam2_operativo_hibrido,1,2,2.293938100003288,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C5,vision_clasica_fija,1,3,0.16710320000129286,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C5,sam2_operativo_hibrido,2,1,2.230581499999971,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C5,vision_clasica_fija,2,2,0.15795349999098107,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C5,random_forest_seleccionado,2,3,24.113251200004015,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C5,vision_clasica_fija,3,1,0.13974740001140162,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C5,random_forest_seleccionado,3,2,23.086654800004908,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C5,sam2_operativo_hibrido,3,3,1.9519997000024887,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C6,sam2_operativo_hibrido,1,1,2.1897192999895196,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C6,vision_clasica_fija,1,2,0.15429869999934454,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C6,random_forest_seleccionado,1,3,14.118616099993233,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C6,vision_clasica_fija,2,1,0.14801090001128614,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C6,random_forest_seleccionado,2,2,13.675423300010152,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C6,sam2_operativo_hibrido,2,3,2.2011662000004435,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C6,random_forest_seleccionado,3,1,13.82356570000411,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C6,sam2_operativo_hibrido,3,2,2.1397678999928758,2100,2970,cpu
asset_identity_v2,test,idv2_test_L2_C6,vision_clasica_fija,3,3,0.1378676999884192,2100,2970,cpu
