domain,sample_id,method,strategy,prompt_source,dice,iou,boundary_f1,expected_components,predicted_components,component_error,mean_predicted_score,inference_seconds
real,real_13,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9792611954469801,0.95936510993701,0.8124699559515576,8,8,0,0.961530052125454,0.5726168999972288
real,real_15,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9799292270573241,0.9606482736785483,0.7789892867431558,8,8,0,0.9698571190237999,0.5224949999974342
real,real_17,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9763657484123875,0.9538228589929328,0.6958763726622421,8,8,0,0.9624313786625862,0.5213203000021167
real,real_20,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9784986831141502,0.9579025175387953,0.7752827372027057,8,8,0,0.9635303393006325,0.46631930000148714
real,real_22,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9792153233333184,0.9592770598113741,0.8128317022520203,8,8,0,0.9740307927131653,0.4645038000016939
real,real_24,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9785251668327918,0.9579532799635937,0.789995730791385,8,8,0,0.956383116543293,0.5099006999953417
real,real_26,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9780578444003077,0.9570579303741195,0.7552676262565047,8,8,0,0.9627463817596436,0.6024276000098325
real,real_28,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9812749919463827,0.9632383461570391,0.8482591645163411,8,8,0,0.9723751172423363,0.5288894999976037
real,real_30,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9744846802891609,0.950239027695786,0.7231479265291735,8,8,0,0.9581558406352997,0.5068143000098644
real,real_32,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9777685163666268,0.9565040130551357,0.7402941139841018,8,8,0,0.9589250162243843,0.5729240000073332
real,real_34,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9707362478948092,0.9431365341578646,0.5912157555961346,8,8,0,0.9583949074149132,0.5509171999874525
real,real_36,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.969332656535255,0.9404903169597826,0.5180661715972661,8,8,0,0.9731074944138527,0.5371846000052756
real,real_38,SAM 2 Hiera Tiny,caja_margen_5,localizador_clasico_solo_cajas,0.9677544385887937,0.9375234680261108,0.5161177977871303,8,8,0,0.9719917699694633,0.550471499998821
