sample_id,expected_wcs,markers_detected,wcs_status,classification_correct,origin_x_px,origin_y_px,origin_x_mm_from_sheet,origin_y_mm_from_sheet,axis_x_angle_deg,orthogonality_error_deg,origin_deviation_from_mean_mm
real_13,False,4,WCS_NOT_FOUND,True,,,,,,,
real_15,False,4,WCS_NOT_FOUND,True,,,,,,,
real_17,False,4,WCS_NOT_FOUND,True,,,,,,,
real_20,True,4,SUCCESS,True,223.199806067513,96.55497158220582,22.3199806067513,9.655497158220582,-0.6441455272625335,0.0,0.1443515261978694
real_22,True,4,SUCCESS,True,220.7616094543337,93.70905444274862,22.07616094543337,9.370905444274863,-0.7428954632999774,0.0,0.2416096539396188
real_24,True,4,SUCCESS,True,223.14108953999877,95.55738974581584,22.314108953999877,9.555738974581583,-0.6924250479781895,0.0,0.05985549964624617
real_26,True,4,SUCCESS,True,223.5929031315561,94.87821926957609,22.35929031315561,9.48782192695761,-0.7061301722122458,0.0,0.10082798800231388
real_28,True,4,SUCCESS,True,223.2175246757729,93.44753338091874,22.32175246757729,9.344753338091873,-0.6580404017867331,0.0,0.1864759804794362
real_30,True,4,SUCCESS,True,223.4102269203461,97.38210319600267,22.34102269203461,9.738210319600267,-0.6620813032211479,0.0,0.22913355559010093
real_32,True,4,SUCCESS,True,224.57300650387998,94.62670680262494,22.457300650388,9.462670680262494,-0.6433788461979074,0.0,0.20177633382477986
real_34,True,4,SUCCESS,True,221.05699908262108,98.78345210873843,22.105699908262107,9.878345210873842,-0.6098841205132269,0.0,0.38992537769491664
real_36,True,4,SUCCESS,True,222.90594319114226,94.343397403228,22.290594319114227,9.4343397403228,-0.6437155204907342,0.0,0.09167566246755614
real_38,True,4,SUCCESS,True,220.59229394317686,92.93991470197972,22.059229394317686,9.293991470197971,-0.42601888021864753,0.0,0.30697464278366865
